kelurahan,jumlah_penduduk
PONDOK BENDA,57819
PAMULANG BARAT,55637
KEDAUNG,53230
JOMBANG,46684
BENDA BARU,46587
SERUA,43932
JURANGMANGU BARAT,39657
PONDOK KACANG TIMUR,39583
PONDOK CABE ILIR,38245
PISANGAN,37640
JELUPANG,35227
SAWAH,34668
PONDOK BETUNG,34065
PAMULANG TIMUR,33903
JURANGMANGU TIMUR,33252
PONDOK RANJI,32278
BAMBU APUS,31961
SAWAH BARU,31621
RAWABUNTU,31362
CIATER,30113
PAKUJAYA,29903
PONDOK PUCUNG,29739
PONDOK KARYA,29241
CIPAYUNG,27996
CEMPAKA PUTIH,27790
REMPOA,27088
CIREUNDEU,27027
PONDOK KACANG BARAT,26978
PONDOK AREN,26015
KADEMANGAN,26015
RENGAS,25815
CIPUTAT,25815
PARIGI,25724
SERUA INDAH,24979
SERPONG,24979
PONDOK CABE UDIK,23379
BUARAN,23277
SETU,23277
PONDOK JAGUNG,22663
BAKTI JAYA,22536
PONDOK JAGUNG TIMUR,22112
RAWA MEKAR JAYA,21188
PAKUALAM,20874
BABAKAN,20385
PARIGI BARU,19760
PAKULONAN,16645
LENGKONG GUDANG TIMUR,15575
LENGKONG GUDANG,13682
MUNCUL,13466
CILENGGANG,13230
PONDOK JAYA,13160
LENGKONG WETAN,12809
KERANGGAN,11903
LENGKONG KARYA,11381
